Dates,aapl,amzn,msft,goog,xom,apc,cvx,c,gs,jpm,aet,jnj,dgx,spy,xlf,sso,sds,uso
2016-01-05T00:00:00.000000000,-2.5508039999999994,-3.200012000000015,0.23920400000000086,0.739990000000148,0.6197740000000209,-0.6059220000000067,0.7063519999999954,-0.2648310000000009,-2.975281000000024,0.10578100000000745,1.492623000000009,0.4005510000000072,0.01931000000000438,0.32817099999999755,0.054299999999997794,0.26793999999998874,-0.23999799999999993,-0.3200000000000003
2016-01-06T00:00:00.000000000,-1.9420850000000058,-1.1399539999999888,-0.9568209999999979,1.0399780000000192,-0.6103900000000237,-4.718246999999998,-3.2900999999999954,-0.7258190000000013,-4.145888999999983,-0.8847080000000105,-0.549903999999998,-0.48639699999999664,-1.062820000000002,-2.4516450000000134,-0.21721399999999846,-1.637439999999991,2.0799939999999992,-0.5500000000000007
2016-01-07T00:00:00.000000000,-4.106421999999995,-24.71002199999998,-1.7988169999999997,-17.22998000000007,-1.1644509999999855,-3.635539999999999,-2.8347020000000214,-2.5109099999999955,-5.092087000000021,-2.442588999999998,0.0490870000000001,-1.115805999999992,-1.4783100000000076,-4.604079999999982,-0.39219399999999993,-2.8283190000000005,4.040001000000004,-0.20999999999999908
2016-01-08T00:00:00.000000000,0.49278199999999117,-0.8900140000000647,0.15309899999999743,-11.920043999999962,-1.4461829999999907,0.44699500000000114,-0.827179000000001,-1.4025919999999985,-0.6633759999999995,-1.298228999999992,-3.1423640000000006,-1.0109100000000097,-0.3400649999999814,-2.0559240000000045,-0.2111800000000006,-1.210715999999998,1.9599989999999963,-0.09999999999999964
2016-01-11T00:00:00.000000000,1.5169530000000009,10.69000200000005,-0.028708999999999207,1.5600580000000264,-0.9390790000000067,-2.7912140000000036,-1.2639919999999734,0.7061919999999944,1.7461550000000159,-0.08655200000000463,-1.7184750000000122,-0.5626830000000069,0.5052489999999921,0.18339599999998768,0.018101000000001477,0.029772999999998717,-0.15999599999999248,-0.5500000000000007
2016-01-12T00:00:00.000000000,1.3816830000000095,0.15002500000002783,0.4592700000000036,10.03997800000002,1.418007000000003,-0.41719399999999496,1.2825849999999974,0.02942300000000131,-0.01948600000000056,0.12501899999999466,4.016052000000002,0.6389690000000172,0.29148099999999033,1.4961090000000183,0.10257299999999958,0.8633729999999957,-1.4800030000000248,-0.0799999999999983
2016-01-13T00:00:00.000000000,-2.483162000000007,-36.080017,-1.0907710000000037,-25.510008999999968,0.4225840000000005,-2.453488000000007,-0.7621230000000025,-1.6575929999999985,-6.555388999999991,-1.5578719999999961,-4.203071999999992,-1.1635060000000124,-1.5157469999999904,-4.662002999999999,-0.34995699999999985,-2.7588419999999942,4.400001000000032,-0.08000000000000007
2016-01-14T00:00:00.000000000,2.058014,11.190001999999936,1.406525000000002,14.159972999999923,3.25859100000001,0.1390610000000052,3.847754999999978,0.1863519999999994,2.341185999999965,0.8270219999999995,3.317161999999996,1.7834019999999953,0.21376800000000173,2.992142000000001,0.11464099999999888,1.7466009999999983,-3.08000100000001,0.1399999999999988
2016-01-15T00:00:00.000000000,-2.309235000000001,-22.820007000000032,-2.0284540000000035,-20.26995899999997,-1.4461750000000109,-2.960077000000002,-1.6729349999999812,-2.854213999999999,-5.638365999999991,-1.1155159999999924,-3.159661,-1.802466999999993,-1.0979460000000003,-3.9766690000000153,-0.2956529999999997,-2.391651000000003,3.8000029999999896,-0.4400000000000013
2016-01-19T00:00:00.000000000,-0.4541159999999991,4.299986999999987,-0.41142999999999574,7.339966000000004,-1.1081080000000014,-1.1621779999999973,-2.0075069999999755,-0.5198400000000021,1.1803429999999935,-0.028843000000009056,-0.19686799999999494,0.4768439999999998,-0.2817569999999989,0.24130200000001878,-0.006033000000000399,0.12900900000000348,-0.12000299999999697,-0.29999999999999893
2016-01-20T00:00:00.000000000,0.12561000000000888,-2.70995999999991,0.22006999999999977,-3.339966000000004,-3.023819000000003,-0.30792599999999837,-2.351403000000019,-1.422202999999996,-2.9947959999999796,-1.4424750000000017,-0.7874610000000075,-1.6689599999999984,-0.4663889999999995,-2.326172000000014,-0.25341599999999964,-1.2504160000000013,2.1600040000000007,-0.25
2016-01-21T00:00:00.000000000,-0.4734499999999997,3.25,-0.2966160000000002,8.140014999999948,0.8639370000000071,2.9898699999999963,1.923866999999973,-0.33348099999999903,-2.048523000000017,-0.2500339999999923,1.200882000000007,0.18119799999999486,-0.2429079999999999,1.003815000000003,-0.05430600000000041,0.5358919999999969,-0.9599989999999963,0.3200000000000003
2016-01-22T00:00:00.000000000,4.947006000000002,21.359984999999938,1.7318379999999962,18.659973000000036,2.3195189999999997,1.9171030000000044,2.314216000000002,0.8925519999999949,5.082336000000026,1.6348039999999955,2.2836229999999915,0.7724989999999963,1.1562459999999959,3.6967769999999973,0.22928200000000132,2.113793000000001,-3.7600029999999975,0.7099999999999991
2016-01-25T00:00:00.000000000,-1.9131010000000117,0.15002400000003036,-0.4784119999999916,-13.580016999999998,-2.432197000000002,-3.1488119999999995,-2.46292099999998,-1.4810529999999957,-5.5993799999999965,-1.240521000000001,-2.116303000000002,-0.33377799999999525,-0.3595159999999993,-2.7797999999999945,-0.25945200000000135,-1.5977519999999998,2.6400000000000006,-0.7300000000000004
2016-01-26T00:00:00.000000000,0.5314180000000022,4.719970999999987,0.363589999999995,1.3699950000000172,2.554275000000004,2.264762999999995,3.0019989999999837,0.9317899999999995,3.24842799999999,1.3655400000000029,-0.44293899999999553,4.558623999999995,0.6412770000000023,2.470916999999986,0.21118100000000162,1.3595770000000016,-2.599998999999997,0.4300000000000015
